"","bhk","rent","size","floor","area_type","city","furnishing_status","tenant_preferred","bathroom","point_of_contact","total_floor"
"41",2,7200,630,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",1
"42",3,12000,1500,0,"Carpet Area","Kolkata","Furnished","Bachelors",2,"Contact Owner",2
"43",1,5000,600,2,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5
"44",2,8500,700,4,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",14
"45",1,6000,300,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"46",2,10000,1300,0,"Super Area","Kolkata","Semi-Furnished","Family",2,"Contact Owner",1
"47",2,4600,400,3,"Carpet Area","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",3
"48",2,12000,650,0,"Super Area","Kolkata","Unfurnished","Family",2,"Contact Owner",1
"49",3,30000,2000,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",2
"50",3,15000,1068,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"51",1,7500,150,1,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",1
"52",1,7500,450,2,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"53",2,5000,800,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"54",2,15000,1000,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"55",2,11000,900,5,"Super Area","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",5
"56",1,7000,600,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"57",2,6000,1200,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"58",2,6000,1200,2,"Super Area","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner",2
"59",2,7000,650,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"60",2,8500,720,4,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4
"61",1,5000,300,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",3
"62",3,30000,1200,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Agent",2
"63",2,10000,700,7,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",8
"64",3,30000,2000,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"65",1,3500,250,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4
"66",2,8000,1100,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",3
"67",1,5000,300,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"68",2,7500,600,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"69",2,6500,800,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"70",1,7500,680,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"71",1,7500,680,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"72",2,16000,850,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent",4
"73",2,16000,850,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent",2
"74",2,6500,700,0,"Super Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"75",3,40000,1500,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"76",2,12500,950,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4
"77",2,5500,500,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"78",1,5000,450,2,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4
"79",2,6500,700,0,"Super Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"80",1,8000,500,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"81",3,14500,1800,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",2
"82",1,8200,500,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"83",2,15000,480,0,"Carpet Area","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",3
"84",6,20000,1000,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",1
"85",2,6700,800,1,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"86",1,10000,435,2,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"87",2,7000,700,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",2
"88",2,22000,800,4,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Agent",4
"89",2,6500,450,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"90",2,8500,550,2,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent",3
"91",2,18000,800,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",4
"92",2,12000,550,0,"Carpet Area","Kolkata","Semi-Furnished","Family",2,"Contact Owner",2
"93",1,9000,600,2,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",4
"94",1,6000,500,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"95",2,20000,1000,1,"Super Area","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",2
"96",1,5000,300,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"97",2,12000,1200,1,"Super Area","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",3
"98",2,10000,500,3,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4
"99",4,18000,1200,1,"Super Area","Kolkata","Unfurnished","Family",2,"Contact Owner",2
"100",2,15000,900,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",2
"101",3,22000,1300,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Agent",2
"102",4,35000,1600,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Agent",5
"103",3,21000,1450,0,"Super Area","Kolkata","Unfurnished","Family",2,"Contact Owner",1
"104",2,25000,1100,2,"Super Area","Kolkata","Furnished","Bachelors",2,"Contact Agent",2
"106",1,6000,600,8,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5
"107",2,14000,700,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"108",3,8000,750,0,"Super Area","Kolkata","Unfurnished","Family",1,"Contact Owner",2
"109",2,8000,1000,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"110",1,6000,220,0,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"111",1,8000,300,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent",3
"112",1,6000,300,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",1
"113",1,20000,700,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"114",3,12000,800,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",1
"115",3,15000,1600,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"116",2,14000,1000,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"117",1,5000,20,2,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"118",2,7000,400,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"119",1,3900,200,2,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"120",3,14000,840,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",4
"121",1,6300,300,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",1
"122",2,13000,550,1,"Carpet Area","Kolkata","Furnished","Bachelors/Family",2,"Contact Agent",2
"123",1,6800,300,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",2
"124",2,8000,800,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",1
"125",2,10000,740,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6
"126",2,18000,1300,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",1
"127",2,8000,650,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",1
"128",2,8000,490,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",1
"129",1,4700,250,2,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"130",1,4700,250,0,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",1
"131",1,4500,450,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"132",1,6000,300,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",1
"133",2,16000,750,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"134",1,4700,250,1,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"135",2,14000,751,3,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",3
"136",2,9000,900,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",2
"137",2,5000,400,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"138",2,17500,1000,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",2
"139",2,8500,1000,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"140",3,15000,1500,1,"Carpet Area","Kolkata","Semi-Furnished","Family",2,"Contact Owner",1
"141",2,12500,750,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"142",1,13000,1200,2,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4
"143",2,8000,700,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"144",2,8000,700,4,"Carpet Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",4
"145",2,8000,1000,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"146",2,7000,1200,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"147",2,2200,550,2,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",3
"148",2,8000,800,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",4
"149",2,5500,280,1,"Super Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",3
"150",3,20000,1100,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",2
"151",2,7000,950,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",2
"152",1,3500,250,1,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"153",2,5000,1000,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"154",3,20000,1000,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",2
"155",2,7000,650,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"156",2,10000,700,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"157",2,7000,700,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",3
"158",3,12000,1000,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"159",2,14500,900,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",4
"160",1,6000,700,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"161",2,9500,700,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"162",2,10000,450,2,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",1
"163",1,3500,120,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"164",2,9000,800,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",2
"165",3,40000,1220,2,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"166",3,16500,1100,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"167",3,8000,700,0,"Carpet Area","Kolkata","Unfurnished","Family",2,"Contact Owner",3
"168",2,12000,800,0,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",3
"169",2,6500,670,2,"Super Area","Kolkata","Unfurnished","Family",1,"Contact Owner",2
"170",4,40000,1300,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",2
"171",1,5000,190,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"172",2,9000,700,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"173",1,7000,240,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",4
"174",2,18000,850,2,"Carpet Area","Kolkata","Semi-Furnished","Family",1,"Contact Owner",4
"175",1,9000,950,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"176",1,5500,450,1,"Carpet Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"177",2,7500,800,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"178",2,4000,600,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"179",3,10500,800,2,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",2
"180",3,15000,1100,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"181",2,15000,800,0,"Carpet Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"182",1,50000,2200,2,"Super Area","Kolkata","Furnished","Bachelors/Family",3,"Contact Owner",5
"183",2,12000,950,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",1
"184",2,11000,550,2,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"185",2,12000,1800,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",1
"186",2,8000,1000,0,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"187",2,18000,600,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"188",2,8000,750,2,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4
"189",2,7000,685,2,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",3
"190",1,6500,44,0,"Carpet Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",1
"191",4,13000,1200,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"192",2,9000,500,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"193",4,10000,1110,2,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"194",2,12000,1000,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"195",2,5000,392,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"196",2,6000,700,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"197",1,5200,750,2,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4
"198",3,15000,1500,1,"Super Area","Kolkata","Unfurnished","Family",2,"Contact Owner",2
"199",2,9000,900,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",1
"200",1,24000,710,1,"Super Area","Kolkata","Furnished","Bachelors",1,"Contact Agent",1
"201",1,5500,400,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"202",1,10000,700,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"203",2,15000,1000,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"204",1,4700,250,1,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",2
"205",1,5000,500,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"206",2,5000,450,2,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"207",3,15000,1400,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"208",1,5000,500,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",1
"209",2,6000,700,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"210",3,18000,1200,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"211",2,8000,450,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"212",1,13000,500,2,"Carpet Area","Kolkata","Furnished","Bachelors",1,"Contact Agent",2
"213",2,7500,400,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"214",3,12000,1000,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",1
"215",2,11000,750,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",1
"216",1,6000,450,0,"Super Area","Kolkata","Unfurnished","Family",1,"Contact Owner",2
"217",3,20000,1000,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",2
"218",2,7000,500,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",1
"219",4,30000,1600,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",1
"220",2,7500,550,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",1
"221",1,6500,550,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"222",1,3000,200,2,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"223",2,5200,650,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"224",2,25000,1000,1,"Super Area","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",1
"225",2,12500,680,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"226",2,8500,720,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",1
"227",2,3500,500,4,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5
"228",2,7000,800,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"229",1,3000,160,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"230",2,14000,1200,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Agent",2
"231",1,18000,700,0,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",4
"232",1,3500,1000,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",1
"233",2,16000,1250,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Agent",1
"234",4,35000,1600,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",3
"235",2,21000,700,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"236",1,4500,450,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"237",2,15000,839,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"238",1,4500,230,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"239",1,5500,1800,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"240",2,8500,800,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"241",1,5000,500,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",1
"242",2,8500,620,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",1
"243",2,9000,650,2,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"244",1,7500,550,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent",2
"245",2,7000,450,1,"Carpet Area","Kolkata","Furnished","Bachelors",2,"Contact Owner",3
"246",3,15000,1350,1,"Carpet Area","Kolkata","Unfurnished","Family",2,"Contact Owner",2
"247",2,7000,600,2,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",2
"248",3,10000,1200,2,"Super Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",4
"249",2,7000,700,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",2
"250",3,3200,800,1,"Carpet Area","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",3
"251",2,6000,600,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"252",2,12000,900,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"253",2,6000,750,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"254",3,10000,1250,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"255",3,12000,1000,2,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",3,"Contact Owner",2
"256",2,8000,600,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"257",2,5300,650,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"258",2,5000,450,2,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",3
"259",3,8500,800,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"260",3,22000,1000,0,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"261",2,7000,1000,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"262",3,25000,1400,5,"Carpet Area","Kolkata","Furnished","Bachelors",3,"Contact Agent",5
"263",2,7000,600,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",4
"264",2,15000,723,0,"Carpet Area","Kolkata","Furnished","Family",1,"Contact Owner",3
"265",1,6000,320,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
